class	class label	textdef	rhea	ec	metacyc
GO:0102131	3-oxo-glutaryl-[acp] methyl ester reductase activity	Catalysis of the reaction: NADP + a 3R-hydroxyglutaryl-[acp] methyl ester <=> NADPH + H+ + a 3-oxo-glutaryl-[acp] methyl ester		EC:1.1.1.100	MetaCyc:RXN-11476
GO:0102155	S-sulfolactate dehydrogenase activity	Catalysis of the reaction: (S)-3-sulfonatolactate + NAD <=> 3-sulfonatopyruvate(2-) + NADH + H+		EC:1.1.1.310	MetaCyc:RXN-11689
GO:0102157	(R)-sulfopropanediol 2-dehydrogenase activity	Catalysis of the reaction: (2R)-3-sulfopropanediol(1-) + NAD <=> 2-oxo-3-hydroxy-propane-1-sulfonate + NADH + H+			MetaCyc:RXN-11729
GO:0102175	3-beta-hydroxysteroid dehydrogenase/C4-decarboxylase activity	Catalysis of the reaction: 4alpha-carboxy-4beta,14alpha-dimethyl-9beta,19-cyclo-5alpha-ergost-24(241)-en-3beta-ol + NAD <=> cycloeucalenone + NADH + carbon dioxide			MetaCyc:RXN-11928
GO:0102176	cycloeucalenone reductase activity	Catalysis of the reaction: cycloeucalenone + NADPH + H+ <=> cycloeucalenol + NADP			MetaCyc:RXN-11929
GO:0102182	4alpha-carboxy-stigmasta-7,24(241)-dien-3beta-ol dehydrogenase/C4-decarboxylase activity	Catalysis of the reaction: 4alpha-carboxy-stigmasta-7,24(241)-dien-3beta-ol + NAD <=> avenastenone + NADH + carbon dioxide			MetaCyc:RXN-11938
GO:0102183	avenastenone reductase activity	Catalysis of the reaction: avenastenone + NADPH + H+ <=> avenasterol + NADP			MetaCyc:RXN-11939
GO:0102187	4alpha-carboxy,4beta,14alpha-dimethyl-9beta,19-cyclo-5alpha-cholest-24-en-3beta-ol dehydrogenase/C4-decarboxylase activity	Catalysis of the reaction: 4alpha-carboxy,4beta,14alpha-dimethyl-9beta,19-cyclo-5alpha-cholest-24-en-3beta-ol + NAD(1-) <=> 4alpha,14alpha-dimethyl-9beta,19-cyclo-5alpha-cholest-24-en-3-one + NADH(2-) + carbon dioxide			MetaCyc:RXN-11949
GO:0102191	4alpha-carboxy-5alpha-cholesta-7,24-dien-3beta-ol dehydrogenase/C4-decarboxylase activity	Catalysis of the reaction: 4alpha-carboxy-5alpha-cholesta-7,24-dien-3beta-ol + NAD(1-) <=> 5alpha-cholesta-7,24-dien-3-one + NADH(2-) + carbon dioxide			MetaCyc:RXN-11959
GO:0102196	cortisol dehydrogenase activity	Catalysis of the reaction: cortisol + NADP <=> cortisone + NADPH + H+			MetaCyc:RXN-12085
GO:0102198	L-idonate 5-dehydrogenase activity (NAD-dependent)	Catalysis of the reaction: L-idonate + NAD = 5-dehydro-D-gluconate + NADH + H+		EC:1.1.1.366	MetaCyc:RXN-12107
GO:0102260	germacrene A alcohol dehydrogenase activity	Catalysis of the reaction: germacra-1(10),4,11(13)-trien-12-ol + 2 NADP + H2O <=> germacra-1(10),4,11(13)-trien-12-oate + 2 NADPH + 3 H+		EC:1.1.1.314	MetaCyc:RXN-12449
GO:0102280	choline monooxygenase activity (NADP-dependent)	Catalysis of the reaction: choline + NADP = betaine aldehyde + NADPH + H+			MetaCyc:RXN-12582
GO:0102282	3-ketodihydrosphinganine (C18) reductase activity	Catalysis of the reaction: NAD(1-) + a sphinganine <=> 3-dehydrosphinganinium(1+) + NADH + H+			MetaCyc:RXN-12641
GO:0102283	3-ketodihydrosphinganine (C20) reductase activity	Catalysis of the reaction: C20 sphinganine(1+) + NADP <=> C20 3-dehydrosphinganine(1+) + NADPH + H+			MetaCyc:RXN-12642
GO:0102284	L-threo-sphinganine reductase activity	Catalysis of the reaction: L-threo-sphinganine + NADP <=> H+ + NADPH + 3-dehydrosphinganinium(1+)			MetaCyc:RXN-12645
GO:0102294	cholesterol dehydrogenase activity	Catalysis of the reaction: cholesterol + NAD = cholest-5-en-3-one + NADH + H+		EC:1.1.1.145	MetaCyc:RXN-12693
GO:0102306	benzil reductase [(S)-benzoin-forming] activity	Catalysis of the reaction: (S)-benzoin + NADP(3-) <=> benzil + NADPH(4-) + H+		EC:1.1.1.320	MetaCyc:RXN-12898
GO:0102309	dTDP-4-oxo-2,6-dideoxy-D-glucose 4-ketoreductase (dTDP-D-oliose producing) activity	Catalysis of the reaction: dTDP-D-oliose + NADP <=> dTDP-4-dehydro-2,6-dideoxy-D-glucose + NADPH + H+			MetaCyc:RXN-12930
GO:0102311	8-hydroxygeraniol dehydrogenase activity	Catalysis of the reaction: (6E)-8-hydroxygeraniol + 2 NADP <=> (6E)-8-oxogeranial + 2 NADPH + 2 H+		EC:1.1.1.324	MetaCyc:RXN-12961
GO:0102342	3-oxo-cerotoyl-CoA reductase activity	Catalysis of the reaction: (R)-3-hydroxycerotoyl-CoA + NADP <=> 3-oxohexacosanoyl-CoA + NADPH + H+		EC:1.1.1.330	MetaCyc:RXN-13301
GO:0102354	11-cis-retinol dehydrogenase activity	Catalysis of the reaction: 11-cis-retinol + NADP = 11-cis-retinal + NADPH + H+			MetaCyc:RXN-13363
GO:0102357	mithramycin dehydrogenase activity	Catalysis of the reaction: mithramycin + NADP <=> mithramycin DK + NADPH + H+			MetaCyc:RXN-13385
GO:0102386	phenylacetaldehyde reductase activity	Catalysis of the reaction: 2-phenylethanol + NADP = phenylacetaldehyde + NADPH + H+			MetaCyc:RXN-13536
GO:0102394	4-hydroxy-L-isoleucine dehydrogenase activity	Catalysis of the reaction: (2S,3R,4S)-4-hydroxy-L-isoleucine + NAD <=> (2S,3R)-2-amino-3-methyl-4-ketopentanoate + NADH + H+			MetaCyc:RXN-13637
GO:0102443	L-2-hydroxycarboxylate dehydrogenase (NAD+) activity	Catalysis of the reaction: NAD(1-) + a (2S)-2-hydroxycarboxylate <=> NADH(2-) + H+ + a 2-oxo carboxylate		EC:1.1.1.337	MetaCyc:RXN-13927
GO:0102497	scyllo-inositol dehydrogenase (NADP+) activity	Catalysis of the reaction: scyllo-inositol + NADP <=> 2,4,6/3,5-pentahydroxycyclohexanone + NADPH + H+		EC:1.1.1.371	MetaCyc:RXN-14347
GO:0102501	D-fructuronate reductase activity	Catalysis of the reaction: D-mannonate + NADP = NADPH + H+ + D-fructuronate			MetaCyc:RXN-14368
GO:0102538	UDP-N-acetyl-alpha-D-quinovosamine dehydrogenase activity	Catalysis of the reaction: UDP-N-acetyl-alpha-D-quinovosamine + NAD(P) = UDP-2-acetamido-4-dehydro-2,6-dideoxy-beta-D-glucose + H+ + NAD(P)H			MetaCyc:RXN-14767
GO:0102539	UDP-N-acetyl-alpha-D-fucosamine dehydrogenase activity	Catalysis of the reaction: UDP-N-acetyl-alpha-D-fucosamine + NAD(P) = UDP-2-acetamido-4-dehydro-2,6-dideoxy-beta-D-glucose + H+ + NAD(P)H			MetaCyc:RXN-14769
GO:0102566	1-acyl dihydroxyacetone phosphate reductase activity	Catalysis of the reaction: 1-oleoylglycerone 3-phosphate + NADPH + H+ = 1-oleoyl-sn-glycero-3-phosphate + NADP		EC:1.1.1.101	MetaCyc:RXN-15046
GO:0102616	oryzalexin A synthase activity	Catalysis of the reaction: oryzalexin D + NAD(P) <=> oryzalexin A + H+ + NAD(P)H			MetaCyc:RXN-15464
GO:0102617	oryzalexin C synthase (oryzalexin B dependent) activity	Catalysis of the reaction: oryzalexin B + NAD(P) <=> oryzalexin C + H+ + NAD(P)H			MetaCyc:RXN-15465
GO:0102618	oryzalexin B synthase activity	Catalysis of the reaction: oryzalexin D + NAD(P) <=> oryzalexin B + H+ + NAD(P)H			MetaCyc:RXN-15466
GO:0102619	oryzalexin C synthase (oryzalexin A dependent) activity	Catalysis of the reaction: oryzalexin A + NAD(P) <=> oryzalexin C + H+ + NAD(P)H			MetaCyc:RXN-15467
GO:0102635	11-deoxycorticosterone reductase activity	Catalysis of the reaction: 11-deoxycorticosterone + NADH + H+ <=> 4-pregnen-20,21-diol-3-one + NAD			MetaCyc:RXN-15607
GO:0102641	(R)-lactaldehyde dehydrogenase activity	Catalysis of the reaction: (R)-propane-1,2-diol + NADP <=> (R)-lactaldehyde + NADPH + H+			MetaCyc:RXN-15743
GO:0102722	gamma-hydroxybutyrate dehydrogenase activity (NAD(P)-dependent	Catalysis of the reaction: 4-hydroxybutyrate + NAD(P) = 4-oxobutanoate + H+ + NAD(P)H			MetaCyc:RXN-6903
GO:0102727	3beta-hydroxysteroid dehydrogenase activity	Catalysis of the reaction: campest-4-en-3beta-ol + NAD = campest-4-en-3-one + NADH + H+			MetaCyc:RXN-710
GO:0102742	R(+)-3,4-dihydroxyphenyllactate:NADP+ oxidoreductase activity	Catalysis of the reaction: H+ + 3,4-dihydroxyphenylpyruvate + NADPH <=> (2R)-3-(3,4-dihydroxyphenyl)lactate + NADP		EC:1.1.1.237	MetaCyc:RXN-7632
GO:0102909	alpha-ketoglutarate reductase activity (NADH-dependent)	Catalysis of the reaction: NAD + 2-hydroxyglutarate = H+ + 2-oxoglutarate + NADH			MetaCyc:RXN-8645
GO:0102911	(-)-secoisolariciresinol dehydrogenase activity	Catalysis of the reaction: (-)-secoisolariciresinol + NAD <=> H+ + (-)-lactol + NADH			MetaCyc:RXN-8680
GO:0102912	(-)-lactol dehydrogenase activity	Catalysis of the reaction: (-)-lactol + NAD <=> H+ + (-)-matairesinol + NADH			MetaCyc:RXN-8681
GO:0102960	momilactone-A synthase activity	Catalysis of the reaction: 3beta-hydroxy-9beta-pimara-7,15-diene-19,6beta-olide + NAD(P) = momilactone A + H+ + NAD(P)H		EC:1.1.1.295	MetaCyc:RXN-9290
GO:0102967	10-hydroxygeraniol oxidoreductase activity	Catalysis of the reaction: (6E)-8-hydroxygeraniol + NADP <=> (6E)-8-hydroxygeranial + NADPH + H+			MetaCyc:RXN-9367
GO:0102968	10-hydroxygeranial oxidoreductase activity	Catalysis of the reaction: (6E)-8-hydroxygeranial + NADP <=> (6E)-8-oxogeranial + NADPH + H+			MetaCyc:RXN-9369
GO:0102969	10-oxogeraniol oxidoreductase activity	Catalysis of the reaction: (6E)-8-oxogeraniol + NADP <=> (6E)-8-oxogeranial + NADPH + H+			MetaCyc:RXN-9370
GO:0102974	hydroxyversicolorone reductase activity	Catalysis of the reaction: versicolorone + NADP = hydroxyversicolorone + NADPH		EC:1.1.1.353	MetaCyc:RXN-9489
GO:0102975	versiconal hemiacetal acetate reductase activity	Catalysis of the reaction: versiconol acetate + NADP <=> versiconal hemiacetal acetate + NADPH		EC:1.1.1.353	MetaCyc:RXN-9490
GO:0102976	versiconal reductase activity	Catalysis of the reaction: versiconol + NADP <=> versiconal hemiacetal + NADPH + H+		EC:1.1.1.353	MetaCyc:RXN-9491
GO:0102982	UDP-3-dehydro-alpha-D-glucose dehydrogenase activity	Catalysis of the reaction: UDP-alpha-D-glucose + NAD <=> H+ + UDP-3-keto-alpha-D-glucose + NADH			MetaCyc:RXN-9578
GO:0103002	16-hydroxypalmitate dehydrogenase activity	Catalysis of the reaction: 16-hydroxypalmitate + NADP <=> H+ + 16-oxo-palmitate + NADPH			MetaCyc:RXN-9802
GO:0103014	beta-keto ester reductase activity	Catalysis of the reaction: ethyl-(2R)-methyl-(3S)-hydroxybutanoate + NADP = ethyl-2-methylacetoacetate + NADPH + H+			MetaCyc:RXN0-1941
GO:0103030	ethylglyoxal reductase (NADH-dependent, hydroxyacetone-forming) activity	Catalysis of the reaction: H+ + methylglyoxal + NADH = hydroxyacetone + NAD			MetaCyc:RXN0-5213
GO:0103032	tartronate semialdehyde reductase activity	Catalysis of the reaction: D-glycerate + NAD <=> H+ + 2-hydroxy-3-oxopropanoate + NADH			MetaCyc:RXN0-5289
GO:0103037	L-glyceraldehyde 3-phosphate reductase activity	Catalysis of the reaction: sn-glycerol 3-phosphate + NADP = H+ + L-glyceraldehyde 3-phosphate + NADPH			MetaCyc:RXN0-5410
GO:0103050	isobutyraldehyde reductase activity	Catalysis of the reaction: isobutanol + NADP <=> isobutyraldehyde + NADPH + H+			MetaCyc:RXN0-7119
GO:0103066	4alpha-carboxy-4beta-methyl-5alpha-cholesta-8-en-3beta-ol:NAD(P)+ 3-oxidoreductase (decarboxylating) activity	Catalysis of the reaction: 4alpha-carboxy-4beta-methyl-5alpha-cholesta-8-en-3beta-ol + NAD(P) = 4alpha-methyl-5alpha-cholesta-8-en-3-one + carbon dioxide + NAD(P)H		EC:1.1.1.170	MetaCyc:RXN66-18
GO:0103067	4alpha-carboxy-5alpha-cholesta-8-en-3beta-ol:NAD(P)+ 3-dehydrogenase (decarboxylating) activity	Catalysis of the reaction: 4alpha-carboxy-5alpha-cholesta-8-en-3beta-ol + NAD(P) = 5alpha-cholesta-8-en-3-one + carbon dioxide + NAD(P)H		EC:1.1.1.170	MetaCyc:RXN66-23
GO:0103074	glucose-6-phosphate 3-dehydrogenase activity	Catalysis of the reaction: NAD + D-glucopyranose 6-phosphate = NADH + H+ + 3-dehydro-D-glucose 6-phosphate		EC:1.1.1.361	MetaCyc:RXN8J2-136
GO:0103081	methylthiopropylmalate dehydrogenase activity	Catalysis of the reaction: 3-(3'-methylthio)propylmalate <=> H+ + 2-oxo-6-methylthiohexanoate + carbon dioxide			MetaCyc:RXNQT-4165
GO:0103084	methylthiobutylmalate dehydrogenase activity	Catalysis of the reaction: 3-(4'-methylthio)butylmalate <=> H+ + 2-oxo-7-methylthioheptanoate + carbon dioxide			MetaCyc:RXNQT-4168
GO:0103087	methylthiopentylmalate dehydrogenase activity	Catalysis of the reaction: 3-(5'-methylthio)pentylmalate <=> H+ + 2-oxo-8-methylthiooctanoate + carbon dioxide			MetaCyc:RXNQT-4171
GO:0103090	methylthiohexylmalate dehydrogenase activity	Catalysis of the reaction: 3-(6'-methylthio)hexylmalate <=> H+ + 2-oxo-9-methylthiononanoate + carbon dioxide			MetaCyc:RXNQT-4174
GO:0103093	methylthioalkylmalate dehydrogenase activity	Catalysis of the reaction: 3-(7'-methylthio)heptylmalate <=> H+ + 2-oxo-10-methylthiodecanoate + carbon dioxide			MetaCyc:RXNQT-4178
GO:1990042	glycerol dehydrogenase [NAD(P)+] activity	Catalysis of an oxidation-reduction (redox) reaction in which glycerol is converted into glycerone and NAD+ or NADP is reduced.			
GO:0033715	nucleoside oxidase activity	Catalysis of the reactions: inosine + O2 = 9-riburonosylhypoxanthine + 2 H2O; (1a) 2 inosine + O2 = 2 5'-dehydroinosine + 2 H2O, and (1b) 2 5'-dehydroinosine + O2 = 2 9-riburonosylhypoxanthine + 2 H2O.	RHEA:24648	EC:1.1.3.28	MetaCyc:NUCLEOSIDE-OXIDASE-RXN
GO:0033716	nucleoside oxidase (hydrogen peroxide-forming) activity	Catalysis of the reactions: adenosine + 2 O2 = 9-riburonosyladenine + 2 hydrogen peroxide; (1a) adenosine + O2 = 5'-dehydroadenosine + hydrogen peroxide, and (1b) 5'-dehydroadenosine + O2 = 9-riburonosyladenine + hydrogen peroxide.	RHEA:24656	EC:1.1.3.39	MetaCyc:1.1.3.39-RXN
GO:0102038	4-nitrobenzyl alcohol oxidase activity	Catalysis of the reaction: 4-nitrobenzyl alcohol + O2 <=> 4-nitrobenzaldehyde + hydrogen peroxide			MetaCyc:R362-RXN
GO:0102029	D-lactate dehydrogenase (quinone) activity	Catalysis of the reaction: (R)-lactate + an ubiquinone = pyruvate + an ubiquinol			MetaCyc:DLACTDEHYDROGFAD-RXN
GO:0103040	aldose sugar dehydrogenase activity	Catalysis of the reaction: H2O + an aldose + an oxidized electron acceptor = H+ + an aldonate + a reduced electron acceptor			MetaCyc:RXN0-6371
GO:0018501	cis-chlorobenzene dihydrodiol dehydrogenase activity	Catalysis of the conversion of a di- or tetrachlorinated dienol to the corresponding catechol.			
GO:0102067	geranylgeranyl diphosphate reductase activity	Catalysis of the reaction: (E)-3,7,11,15-tetramethylhexadec-2-en-1-yl diphosphate + 3 NADP <=> 2-trans,6-trans,10-trans-geranylgeranyl diphosphate + 3 NADPH + 3 H+		EC:1.3.1.83	MetaCyc:RXN-10625
GO:0102232	acrolein reductase activity	Catalysis of the reaction: acrolein + NADPH + H+ <=> propanal + NADP			MetaCyc:RXN-12281
GO:0102234	but-1-en-3-one reductase activity	Catalysis of the reaction: buten-2-one + NADPH + H+ <=> butan-2-one + NADP			MetaCyc:RXN-12293
GO:0102235	1-penten-3-one reductase activity	Catalysis of the reaction: 1-penten-3-one + NADPH + H+ <=> 1-pentan-3-one + NADP			MetaCyc:RXN-12295
GO:0102236	trans-4-hexen-3-one reductase activity	Catalysis of the reaction: trans-4-hexen-3-one + NADPH + H+ <=> hexan-3-one + NADP			MetaCyc:RXN-12296
GO:0102347	trans-arachidon-2-enoyl-CoA reductase activity	Catalysis of the reaction: icosanoyl-CoA(4-) + NADP(3-) <=> trans-2-icosenoyl-CoA(4-) + NADPH(4-) + H+			MetaCyc:RXN-13306
GO:0102348	trans-docosan-2-enoyl-CoA reductase activity	Catalysis of the reaction: behenoyl-CoA + NADP <=> trans-2-docosenoyl-CoA + NADPH + H+			MetaCyc:RXN-13307
GO:0102349	trans-lignocero-2-enoyl-CoA reductase activity	Catalysis of the reaction: tetracosanoyl-CoA + NADP <=> trans-2-tetracosenoyl-CoA + NADPH + H+			MetaCyc:RXN-13308
GO:0102350	trans-cerot-2-enoyl-CoA reductase activity	Catalysis of the reaction: hexacosanoyl-CoA(4-) + NADP(3-) <=> trans-2-hexacosenoyl-CoA + NADPH + H+			MetaCyc:RXN-13309
GO:0102389	polyprenol reductase activity	Catalysis of the reaction: NADP + a ditrans,polycis-dolichol = NADPH + H+ + a di-trans, poly-cis-polyprenol		EC:1.3.1.94	MetaCyc:RXN-13604
GO:0102523	2-chloroacrylate reductase activity	Catalysis of the reaction: (S)-2-chloropropanoate + NADP <=> 2-chloroacrylate + NADPH + H+		EC:1.3.1.103	MetaCyc:RXN-14536
GO:0102678	22-alpha-hydroxy-campest-4-en-3-one,NADPH:steroid 5alpha-reductase activity	Catalysis of the reaction: (5alpha,22S,24R)-22-hydroxyergostan-3-one + NADP <=> H+ + (22S)-22-hydroxycampest-4-en-3-one + NADPH			MetaCyc:RXN-4229
GO:0102728	campest-4-en-3-one,NADPH:steroid 5alpha-reductase activity	Catalysis of the reaction: (5alpha)-campestan-3-one + NADP = H+ + campest-4-en-3-one + NADPH			MetaCyc:RXN-711
GO:0102744	all-trans-geranyl-geranyl diphosphate reductase activity	Catalysis of the reaction: H+ + 2-trans,6-trans,10-trans-geranylgeranyl diphosphate + NADPH = dihydrogeranylgeranyl-PP + NADP			MetaCyc:RXN-7658
GO:0102745	dihydrogeranylgeranyl-PP reductase activity	Catalysis of the reaction: H+ + dihydrogeranylgeranyl-PP + NADPH = tetrahydrogeranylgeranyl-PP + NADP			MetaCyc:RXN-7659
GO:0102746	tetrahydrogeranylgeranyl-PP reductase activity	Catalysis of the reaction: H+ + tetrahydrogeranylgeranyl-PP + NADPH = (E)-3,7,11,15-tetramethylhexadec-2-en-1-yl diphosphate + NADP			MetaCyc:RXN-7660
GO:0102748	geranylgeranyl-chlorophyll a reductase activity	Catalysis of the reaction: H+ + geranylgeranyl-chlorophyll a + NADPH = dihydrogeranylgeranyl-chlorophyll a + NADP			MetaCyc:RXN-7664
GO:0102749	dihydrogeranylgeranyl-chlorophyll a reductase activity	Catalysis of the reaction: H+ + dihydrogeranylgeranyl-chlorophyll a + NADPH = tetrahydrogeranylgeranyl-chlorophyll a + NADP			MetaCyc:RXN-7665
GO:0102750	tetrahydrogeranylgeranyl-chlorophyll a reductase activity	Catalysis of the reaction: chlorophyll a + NADP = tetrahydrogeranylgeranyl-chlorophyll a + NADPH + H+			MetaCyc:RXN-7666
GO:0102758	very-long-chain enoyl-CoA reductase activity	Catalysis of the reaction: NADP(3-) + a very-long-chain 2,3,4-saturated fatty acyl CoA <=> NADPH(4-) + H+ + a very-long-chain trans-2,3-dehydroacyl-CoA		EC:1.3.1.93	MetaCyc:RXN-7711
GO:0102868	24-epi-campsterol desaturase activity	Catalysis of the reaction: 24-epi-campesterol + NADPH + H+ + O2 <=> brassicasterol + NADP + 2 H2O			MetaCyc:RXN-8352
GO:0102932	pterocarpan reductase activity	Catalysis of the reaction: H+ + (-)-medicarpin + NADPH = (+)-vestitol + NADP			MetaCyc:RXN-8936
GO:0102978	furaneol oxidoreductase activity	Catalysis of the reaction: 4-hydroxy-2,5-dimethylfuran-3-one + NADP <=> 4-hydroxy-5-methyl-2-methylenefuran-3-one + NADPH + H+		EC:1.3.1.105	MetaCyc:RXN-9563
GO:0102979	homofuraneol oxidoreductase activity	Catalysis of the reaction: homofuraneol + NADP <=> (2E)-2-ethylidene-4-hydroxy-5-methyl-3(2H)-furanone + NADPH + H+			MetaCyc:RXN-9564
GO:0102980	2-butyl-4-hydroxy-5-methyl-3(2H)-furanoneoxidoreductase activity	Catalysis of the reaction: 2-butyl-4-hydroxy-5-methyl-3(2H)-furanone + NADP <=> (2E)-2-butylidene-4-hydroxy-5-methyl-3(2H)-furanone + NADPH + H+			MetaCyc:RXN-9565
GO:0102981	4-hydroxy-5-methyl-2-propyl-3(2H)-furanone oxidoreductase activity	Catalysis of the reaction: 4-hydroxy-5-methyl-2-propyl-3(2H)-furanone + NADP <=> (2E)-4-hydroxy-5-methyl-2-propylidene-3(2H)-furanone + NADPH + H+			MetaCyc:RXN-9567
GO:0102997	progesterone 5beta- reductase activity	Catalysis of the reaction: H+ + progesterone + NADPH <=> 5beta-pregnane-3,20-dione + NADP			MetaCyc:RXN-9726
GO:0102040	fumarate reductase (menaquinone)	Catalysis of the reaction: fumarate + a menaquinol = succinate + a menaquinone		EC:1.3.5.4	MetaCyc:R601-RXN
GO:0102262	tRNA-dihydrouridine16 synthase activity	Catalysis of the reaction: a 5,6-dihydrouracil16 in tRNA + NAD(P) <=> H+ + a uracil16 in tRNA + NAD(P)H			MetaCyc:RXN-12454
GO:0102263	tRNA-dihydrouridine17 synthase activity	Catalysis of the reaction: a 5,6-dihydrouracil17 in tRNA + NAD(P) <=> H+ + a uracil17 in tRNA + NAD(P)H		EC:1.3.1.88	MetaCyc:RXN-12455
GO:0102264	tRNA-dihydrouridine20 synthase activity	Catalysis of the reaction: a 5,6-dihydrouracil20 in tRNA + NAD(P) <=> H+ + a uracil20 in tRNA + NAD(P)H		EC:1.3.1.91	MetaCyc:RXN-12456
GO:0102265	tRNA-dihydrouridine47 synthase activity	Catalysis of the reaction: a 5,6-dihydrouracil47 in tRNA + NAD(P) <=> H+ + a uracil47 in tRNA + NAD(P)H		EC:1.3.1.89	MetaCyc:RXN-12457
GO:0102266	tRNA-dihydrouridine20a synthase activity	Catalysis of the reaction: a 5,6-dihydrouracil20a in tRNA + NAD(P) <=> H+ + a uracil20a in tRNA + NAD(P)H		EC:1.3.1.90	MetaCyc:RXN-12475
GO:0102267	tRNA-dihydrouridine20b synthase activity	Catalysis of the reaction: a 5,6-dihydrouracil20b in tRNA + NAD(P) <=> H+ + a uracil20b in tRNA + NAD(P)H			MetaCyc:RXN-12476
GO:0102035	isobutyryl-CoA:FAD oxidoreductase activity	Catalysis of the reaction: H+ + isobutyryl-CoA + FAD <=> methacrylyl-CoA + FADH2			MetaCyc:MEPROPCOA-FAD-RXN
GO:0102223	4,4'-diapophytoene desaturase activity	Catalysis of the reaction: 4 H+ + 15-cis-4,4'-diapophytoene + 4 FAD <=> 4,4'-diapolycopene + 4 FADH2		EC:1.3.8.2	MetaCyc:RXN-12224
GO:0102225	4,4'-diaponeurosporene desaturase activity	Catalysis of the reaction: 4,4'-diaponeurosporene + FAD + H+ <=> 4,4'-diapolycopene + FADH2			MetaCyc:RXN-12258
GO:0102393	decanoyl-[acp] 2-dehydrogenase activity	Catalysis of the reaction: FAD + H+ + a decanoyl-HmqF protein <=> FADH2(2-) + a 2,3-dehydro-decanoyl-HmqF			MetaCyc:RXN-13624
GO:0102961	4,4'-diapophytofluene desaturase activity	Catalysis of the reaction: all-trans-4,4'-diapophytofluene + FAD + H+ = all-trans-4,4'-diapo-zeta-carotene + FADH2			MetaCyc:RXN-9304
GO:0102962	4,4'-diapo-zeta-carotene desaturase activity	Catalysis of the reaction: all-trans-4,4'-diapo-zeta-carotene + FAD + H+ = 4,4'-diaponeurosporene + FADH2			MetaCyc:RXN-9305
GO:0102042	dehydroquinate synthase activity	Catalysis of the reaction: 2-amino-2,3,7-trideoxy-D-lyxo-hept-6-ulosonic acid + H2O + NAD = 3-dehydroquinate + ammonium + NADH + H+		EC:1.4.1.24	MetaCyc:RXN-10032
GO:0043799	glycine oxidase activity	Catalysis of the reactions: (1) glycine + H2O + O2 = glyoxylate + NH3 + hydrogen peroxide; (2) D-alanine + H2O + O2 = pyruvate + NH3 + hydrogen peroxide; (3) sarcosine + H2O + O2 = glyoxylate + methylamine + hydrogen peroxide; (4) N-ethylglycine + H2O + O2 = glyoxylate + ethylamine + hydrogen peroxide.		EC:1.4.3.19	MetaCyc:1.4.3.19-RXN|MetaCyc:RXN-8672|MetaCyc:RXN-8673|MetaCyc:RXN-8674
GO:0004753	saccharopine dehydrogenase activity	Catalysis of the cleavage of N6-(L-1,3-dicarboxypropyl)-L-lysine to release an amino acid (lysine or glutamate), with the concomitant reduction of an electron acceptor.			
GO:0033740	hydroxylamine oxidoreductase activity	Catalysis of the reactions: hydroxylamine + NH3 = hydrazine + H2O, and hydrazine + acceptor = N2 + reduced acceptor.	RHEA:23232	EC:1.7.99.8	MetaCyc:1.7.99.8-RXN
GO:0102143	carboxynorspermidine dehydrogenase I activity	Catalysis of the reaction: carboxynorspermidine + NADP + H2O <=> L-aspartic acid 4-semialdehyde betaine + trimethylenediaminium + NADPH + H+			MetaCyc:RXN-11565
GO:0102144	carboxyspermidine dehydrogenase II activity	Catalysis of the reaction: carboxyspermidine + H2O + NADP <=> L-aspartic acid 4-semialdehyde betaine + 1,4-butanediammonium + NADPH + H+			MetaCyc:RXN-11566
GO:0102261	8-hydroxy-5-deazaflavin:NADPH oxidoreductase activity	Catalysis of the reaction: NADP + a reduced coenzyme F420 <=> NADPH + H+ + an oxidized coenzyme F420		EC:1.5.1.40	MetaCyc:RXN-12450
GO:0102544	ornaline synthase activity	Catalysis of the reaction: L-ornithinium(1+) + 2-oxoglutarate + NADPH + H+ <=> ornaline + NADP + H2O			MetaCyc:RXN-14880
GO:0046592	polyamine oxidase activity	Catalysis of the oxidative degradation or interconversion of polyamines.		EC:1.5.3.11	MetaCyc:POLYAMINE-OXIDASE-RXN
GO:0102317	4-methylaminobutyrate oxidase (demethylating) activity	Catalysis of the reaction: 4-(methylamino)butyric acid  + O2 + H2O <=> gamma-aminobutyric acid  + formaldehyde + hydrogen peroxide		EC:1.5.3.19	MetaCyc:RXN-13067
GO:0103035	NAD(P)H:methyl-1,4-benzoquinone oxidoreductase activity	Catalysis of the reaction: 3 H+ + methyl-1,4-benzoquinone + NADPH = methyl-1,4-benzoquinol + NADP			MetaCyc:RXN0-5387
GO:0103036	NADH:menaquinone oxidoreductase activity	Catalysis of the reaction: 5 H+ + NADH + a menaquinone <=> 4 H+ + NAD + a menaquinol			MetaCyc:RXN0-5388
GO:0018545	NAD(P)H nitroreductase activity	Catalysis of the conversion of a nitrate group to an amino or hydroxylamino group on toluene or a toluene derivative.			
GO:0098622	selenodiglutathione-disulfide reductase activity	Catalysis of the reaction: H+ + selenodiglutathione + NADPH => gluthathioselenol + glutathione + NADP+.			
GO:0102039	alkylhydroperoxide reductase activity	Catalysis of the reaction: H2O + NAD + an alcohol <=> NADH + H+ + an organic hydroperoxide			MetaCyc:R4-RXN
GO:0018547	nitroglycerin reductase activity	Catalysis of the removal of one or more nitrite (NO2-) groups from nitroglycerin or a derivative.		EC:1.7.3	
