class	class label	def	unmatched_term	rhea_chebi_id	rhea_chebi_id label	info	score	rhea	ec	metacyc
GO:0047123	quinoline-4-carboxylate 2-oxidoreductase activity	Catalysis of the reaction: A + H(2)O + quinoline-4-carboxylate = 2-oxo-1,2-dihydroquinoline-4-carboxylate + AH(2).	H(2)O							
GO:0047123	quinoline-4-carboxylate 2-oxidoreductase activity	Catalysis of the reaction: A + H(2)O + quinoline-4-carboxylate = 2-oxo-1,2-dihydroquinoline-4-carboxylate + AH(2).	AH(2)							
GO:0047123	quinoline-4-carboxylate 2-oxidoreductase activity	Catalysis of the reaction: A + H(2)O + quinoline-4-carboxylate = 2-oxo-1,2-dihydroquinoline-4-carboxylate + AH(2).	H(2)O							
GO:0047123	quinoline-4-carboxylate 2-oxidoreductase activity	Catalysis of the reaction: A + H(2)O + quinoline-4-carboxylate = 2-oxo-1,2-dihydroquinoline-4-carboxylate + AH(2).	AH(2)							
GO:0047123	quinoline-4-carboxylate 2-oxidoreductase activity	Catalysis of the reaction: A + H(2)O + quinoline-4-carboxylate = 2-oxo-1,2-dihydroquinoline-4-carboxylate + AH(2).	H(2)O							
GO:0047123	quinoline-4-carboxylate 2-oxidoreductase activity	Catalysis of the reaction: A + H(2)O + quinoline-4-carboxylate = 2-oxo-1,2-dihydroquinoline-4-carboxylate + AH(2).	AH(2)							
GO:0047123	quinoline-4-carboxylate 2-oxidoreductase activity	Catalysis of the reaction: A + H(2)O + quinoline-4-carboxylate = 2-oxo-1,2-dihydroquinoline-4-carboxylate + AH(2).	H(2)O							
GO:0047123	quinoline-4-carboxylate 2-oxidoreductase activity	Catalysis of the reaction: A + H(2)O + quinoline-4-carboxylate = 2-oxo-1,2-dihydroquinoline-4-carboxylate + AH(2).	AH(2)							
GO:0047123	quinoline-4-carboxylate 2-oxidoreductase activity	Catalysis of the reaction: A + H(2)O + quinoline-4-carboxylate = 2-oxo-1,2-dihydroquinoline-4-carboxylate + AH(2).	H(2)O							
GO:0047123	quinoline-4-carboxylate 2-oxidoreductase activity	Catalysis of the reaction: A + H(2)O + quinoline-4-carboxylate = 2-oxo-1,2-dihydroquinoline-4-carboxylate + AH(2).	AH(2)							
GO:0047123	quinoline-4-carboxylate 2-oxidoreductase activity	Catalysis of the reaction: A + H(2)O + quinoline-4-carboxylate = 2-oxo-1,2-dihydroquinoline-4-carboxylate + AH(2).	H(2)O							
GO:0047123	quinoline-4-carboxylate 2-oxidoreductase activity	Catalysis of the reaction: A + H(2)O + quinoline-4-carboxylate = 2-oxo-1,2-dihydroquinoline-4-carboxylate + AH(2).	AH(2)							
GO:0050234	pyrazolylalanine synthase activity	Catalysis of the reaction: L-serine + pyrazole = 3-(pyrazol-1-yl)-L-alanine + H(2)O.	H(2)O							
GO:0008789	altronate dehydratase activity	Catalysis of the reaction: D-altronate = 2-dehydro-3-deoxy-D-gluconate + H(2)O.	H(2)O							
GO:0050127	N-carbamoylsarcosine amidase activity	Catalysis of the reaction: N-carbamoylsarcosine + H(2)O + 2 H(+) = CO(2) + NH(4)(+) + sarcosine.	H(2)O							
GO:0050127	N-carbamoylsarcosine amidase activity	Catalysis of the reaction: N-carbamoylsarcosine + H(2)O + 2 H(+) = CO(2) + NH(4)(+) + sarcosine.	CO(2)							
GO:0050127	N-carbamoylsarcosine amidase activity	Catalysis of the reaction: N-carbamoylsarcosine + H(2)O + 2 H(+) = CO(2) + NH(4)(+) + sarcosine.	NH(4)(+)							
GO:0018498	2,3-dihydroxy-2,3-dihydro-phenylpropionate dehydrogenase activity	Catalysis of the reaction: cis-3-(3-carboxyethyl)-3,5-cyclohexadiene-1,2-diol + NAD+ = NADH + H+ + 3-(2,3-dihydroxyphenyl)propionate.	3-(2,3-dihydroxyphenyl)propionate							
GO:0047378	acetylalkylglycerol acetylhydrolase activity	Catalysis of the reaction: 2-acetyl-1-alkyl-sn-glycerol + H(2)O = 1-alkyl-sn-glycerol + acetate + H(+).	2-acetyl-1-alkyl-sn-glycerol							
GO:0047378	acetylalkylglycerol acetylhydrolase activity	Catalysis of the reaction: 2-acetyl-1-alkyl-sn-glycerol + H(2)O = 1-alkyl-sn-glycerol + acetate + H(+).	H(2)O							
GO:0047378	acetylalkylglycerol acetylhydrolase activity	Catalysis of the reaction: 2-acetyl-1-alkyl-sn-glycerol + H(2)O = 1-alkyl-sn-glycerol + acetate + H(+).	1-alkyl-sn-glycerol							
GO:0047080	deoxyuridine 2'-dioxygenase activity	Catalysis of the reaction: 2'-deoxyuridine + 2-oxoglutarate + O(2) = CO(2) + succinate + uridine.	O(2)							
GO:0047080	deoxyuridine 2'-dioxygenase activity	Catalysis of the reaction: 2'-deoxyuridine + 2-oxoglutarate + O(2) = CO(2) + succinate + uridine.	CO(2)							
GO:0004392	heme oxygenase (decyclizing) activity	Catalysis of the reaction: heme + 3 donor-H2 + 3 O2 = biliverdin + Fe2+ + CO + 3 acceptor + 3 H2O.	donor-H2							
GO:0008254	3'-nucleotidase activity	Catalysis of the reaction: a 3'-ribonucleotide + H2O = a ribonucleoside + phosphate.	3'-ribonucleotide							
GO:0052694	jasmonoyl-isoleucine-12-hydroxylase activity	Catalysis of the reaction: jasmonoyl-isoleucine + NADPH + H+ + O2 = 12-hydroxy-jasmonoyl-isoleucine + NADP+ + H2O.	jasmonoyl-isoleucine							
GO:0052694	jasmonoyl-isoleucine-12-hydroxylase activity	Catalysis of the reaction: jasmonoyl-isoleucine + NADPH + H+ + O2 = 12-hydroxy-jasmonoyl-isoleucine + NADP+ + H2O.	12-hydroxy-jasmonoyl-isoleucine							
GO:0047233	N-acetylneuraminylgalactosylglucosylceramide beta-1,4-N-acetylgalactosaminyltransferase activity	Catalysis of the reaction: N-acetylneuraminyl-2,3-alpha-D-galactosyl-1,4-beta-D-glucosylceramide + UDP-N-acetylgalactosamine = N-acetyl-beta-D-galactosaminyl-1,4-(N-acetyl-alpha-neuraminyl-2,3)-beta-D-galactosyl-1,4-beta-D-glucosylceramide + UDP.	N-acetylneuraminyl-2,3-alpha-D-galactosyl-1,4-beta-D-glucosylceramide							
GO:0047233	N-acetylneuraminylgalactosylglucosylceramide beta-1,4-N-acetylgalactosaminyltransferase activity	Catalysis of the reaction: N-acetylneuraminyl-2,3-alpha-D-galactosyl-1,4-beta-D-glucosylceramide + UDP-N-acetylgalactosamine = N-acetyl-beta-D-galactosaminyl-1,4-(N-acetyl-alpha-neuraminyl-2,3)-beta-D-galactosyl-1,4-beta-D-glucosylceramide + UDP.	UDP-N-acetylgalactosamine							
GO:0047233	N-acetylneuraminylgalactosylglucosylceramide beta-1,4-N-acetylgalactosaminyltransferase activity	Catalysis of the reaction: N-acetylneuraminyl-2,3-alpha-D-galactosyl-1,4-beta-D-glucosylceramide + UDP-N-acetylgalactosamine = N-acetyl-beta-D-galactosaminyl-1,4-(N-acetyl-alpha-neuraminyl-2,3)-beta-D-galactosyl-1,4-beta-D-glucosylceramide + UDP.	N-acetyl-beta-D-galactosaminyl-1,4-(N-acetyl-alpha-neuraminyl-2,3)-beta-D-galactosyl-1,4-beta-D-glucosylceramide							
GO:0070815	peptidyl-lysine 5-dioxygenase activity	Catalysis of the reaction: protein L-lysine + 2-oxoglutarate + O2 = protein 5-hydroxy-L-lysine + succinate + CO2.	protein L-lysine							
GO:0070815	peptidyl-lysine 5-dioxygenase activity	Catalysis of the reaction: protein L-lysine + 2-oxoglutarate + O2 = protein 5-hydroxy-L-lysine + succinate + CO2.	protein 5-hydroxy-L-lysine							
GO:0033731	arogenate dehydrogenase [NAD(P)+] activity	Catalysis of the reaction: L-arogenate + NAD(P)+ = L-tyrosine + NAD(P)H + CO2.	NAD(P)+							
GO:0034867	2,4,4-trimethylpent-2-enoyl-CoA hydratase activity	Catalysis of the reaction: 2,4,4-trimethylpent-2-enoyl-CoA + H2O = 2,4,4-trimethyl-3-hydroxypentanoyl-CoA.	2,4,4-trimethylpent-2-enoyl-CoA							
GO:0034867	2,4,4-trimethylpent-2-enoyl-CoA hydratase activity	Catalysis of the reaction: 2,4,4-trimethylpent-2-enoyl-CoA + H2O = 2,4,4-trimethyl-3-hydroxypentanoyl-CoA.	2,4,4-trimethyl-3-hydroxypentanoyl-CoA							
GO:0051992	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine:undecaprenyl-phosphate transferase activity	Catalysis of the reaction: UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine + di-trans,poly-cis-undecaprenyl phosphate = UMP + N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol.	di-trans,poly-cis-undecaprenyl phosphate							
GO:0051992	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine:undecaprenyl-phosphate transferase activity	Catalysis of the reaction: UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine + di-trans,poly-cis-undecaprenyl phosphate = UMP + N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol.	di-trans,poly-cis-undecaprenyl phosphate							
GO:0008681	2-octaprenyl-6-methoxyphenol hydroxylase activity	Catalysis of the reaction: 2-octaprenyl-6-methoxyphenol + O2 + 4 H+ = 2-octaprenyl-6-methoxy-1,4-benzoquinol + H2O.	2-octaprenyl-6-methoxyphenol							
GO:0050383	uracil dehydrogenase activity	Catalysis of the reaction: uracil + acceptor = barbiturate + reduced acceptor.	reduced acceptor							
GO:0008026	ATP-dependent helicase activity	Catalysis of the reaction: ATP + H2O = ADP + phosphate, to drive the unwinding of a DNA or RNA helix.	phosphate, to drive the unwinding of a DNA or RNA helix							
GO:0047339	nucleoside-triphosphate-hexose-1-phosphate nucleotidyltransferase activity	Catalysis of the reaction: hexose 1-phosphate + nucleoside triphosphate = NDP-hexose + diphosphate.	NDP-hexose							
GO:0047339	nucleoside-triphosphate-hexose-1-phosphate nucleotidyltransferase activity	Catalysis of the reaction: hexose 1-phosphate + nucleoside triphosphate = NDP-hexose + diphosphate.	NDP-hexose							
GO:0004721	phosphoprotein phosphatase activity	Catalysis of the reaction: a phosphoprotein + H2O = a protein + phosphate. Together with protein kinases, these enzymes control the state of phosphorylation of cell proteins and thereby provide an important mechanism for regulating cellular activity.	phosphoprotein							
GO:0047739	cephalosporin-C deacetylase activity	Catalysis of the reaction: cephalosporin C + H(2)O = acetate + deacetylcephalosporin C + H(+).	H(2)O							
GO:0050474	(S)-norcoclaurine synthase activity	Catalysis of the reaction: 4-(2-aminoethyl)benzene-1,2-diol + 4-hydroxyphenylacetaldehyde = (S)-norcoclaurine + H2O.	4-hydroxyphenylacetaldehyde							
GO:0050028	L-lysine-lactamase activity	Catalysis of the reaction: L-2-aminohexano-6-lactam + H(2)O = L-lysine.	H(2)O							
GO:0050369	[tyrosine 3-monooxygenase] kinase activity	Catalysis of the reaction: ATP + [tyrosine-3-monooxygenase] = ADP + phospho-[tyrosine-3-monooxygenase].	[tyrosine-3-monooxygenase]							
GO:0050369	[tyrosine 3-monooxygenase] kinase activity	Catalysis of the reaction: ATP + [tyrosine-3-monooxygenase] = ADP + phospho-[tyrosine-3-monooxygenase].	phospho-[tyrosine-3-monooxygenase]							
GO:0004156	dihydropteroate synthase activity	Catalysis of the reaction: 2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate + 4-aminobenzoate = diphosphate + dihydropteroate.	2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate							
GO:0004156	dihydropteroate synthase activity	Catalysis of the reaction: 2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate + 4-aminobenzoate = diphosphate + dihydropteroate.	dihydropteroate							
GO:0004156	dihydropteroate synthase activity	Catalysis of the reaction: 2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate + 4-aminobenzoate = diphosphate + dihydropteroate.	2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate							
GO:0004156	dihydropteroate synthase activity	Catalysis of the reaction: 2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate + 4-aminobenzoate = diphosphate + dihydropteroate.	dihydropteroate							
GO:0047820	D-glutamate cyclase activity	Catalysis of the reaction: D-glutamate = 5-oxo-D-proline + H(2)O.	H(2)O							
GO:0047820	D-glutamate cyclase activity	Catalysis of the reaction: D-glutamate = 5-oxo-D-proline + H(2)O.	H(2)O							
GO:0033777	lithocholate 6beta-hydroxylase activity	Catalysis of the reaction: H(+) + lithocholate + NADPH + O(2) = 6-beta-hydroxylithocholate + H(2)O + NADP(+).	O(2)							
GO:0033777	lithocholate 6beta-hydroxylase activity	Catalysis of the reaction: H(+) + lithocholate + NADPH + O(2) = 6-beta-hydroxylithocholate + H(2)O + NADP(+).	6-beta-hydroxylithocholate							
GO:0033777	lithocholate 6beta-hydroxylase activity	Catalysis of the reaction: H(+) + lithocholate + NADPH + O(2) = 6-beta-hydroxylithocholate + H(2)O + NADP(+).	H(2)O							
GO:0051499	D-aminoacyl-tRNA deacylase activity	Catalysis of the reaction: D-aminoacyl-tRNA = D-amino acid + tRNA. Hydrolysis of the removal of D-amino acids from residues in charged tRNA.	D-aminoacyl-tRNA							
GO:0051499	D-aminoacyl-tRNA deacylase activity	Catalysis of the reaction: D-aminoacyl-tRNA = D-amino acid + tRNA. Hydrolysis of the removal of D-amino acids from residues in charged tRNA.	D-amino acid	http://purl.obolibrary.org/obo/CHEBI_59871	D-alpha-amino acid zwitterion	newsyn	0.75			
GO:0034569	monodemethylisoproturon dehydrogenase activity	Catalysis of the reaction: monodemethylisoproturon + H2O = hydroxymonodemethylisoproturon + 2 H+ + 2 e-.	monodemethylisoproturon							
GO:0034569	monodemethylisoproturon dehydrogenase activity	Catalysis of the reaction: monodemethylisoproturon + H2O = hydroxymonodemethylisoproturon + 2 H+ + 2 e-.	hydroxymonodemethylisoproturon							
GO:0034431	bis(5'-adenosyl)-hexaphosphatase activity	Catalysis of the reaction: P1-P6-bis(5'-adenosyl) hexaphosphate + H2O = AMP + adenosine 5'-pentaphosphate.	P1-P6-bis(5'-adenosyl) hexaphosphate							
GO:0034431	bis(5'-adenosyl)-hexaphosphatase activity	Catalysis of the reaction: P1-P6-bis(5'-adenosyl) hexaphosphate + H2O = AMP + adenosine 5'-pentaphosphate.	P1-P6-bis(5'-adenosyl) hexaphosphate							
GO:0034431	bis(5'-adenosyl)-hexaphosphatase activity	Catalysis of the reaction: P1-P6-bis(5'-adenosyl) hexaphosphate + H2O = AMP + adenosine 5'-pentaphosphate.	P1-P6-bis(5'-adenosyl) hexaphosphate							
GO:0034431	bis(5'-adenosyl)-hexaphosphatase activity	Catalysis of the reaction: P1-P6-bis(5'-adenosyl) hexaphosphate + H2O = AMP + adenosine 5'-pentaphosphate.	P1-P6-bis(5'-adenosyl) hexaphosphate							
GO:0034431	bis(5'-adenosyl)-hexaphosphatase activity	Catalysis of the reaction: P1-P6-bis(5'-adenosyl) hexaphosphate + H2O = AMP + adenosine 5'-pentaphosphate.	P1-P6-bis(5'-adenosyl) hexaphosphate							
GO:0034431	bis(5'-adenosyl)-hexaphosphatase activity	Catalysis of the reaction: P1-P6-bis(5'-adenosyl) hexaphosphate + H2O = AMP + adenosine 5'-pentaphosphate.	P1-P6-bis(5'-adenosyl) hexaphosphate							
GO:0050202	octopamine dehydratase activity	Catalysis of the reaction: 1-(4-hydroxyphenyl)-2-aminoethanol = (4-hydroxyphenyl)acetaldehyde + NH(4)(+).	NH(4)(+)							
GO:0052912	23S rRNA (guanine(748)-N(1))-methyltransferase activity	Catalysis of the reaction: S-adenosyl-L-methionine + guanine(748) in 23S rRNA = N(1)-methylguanine(748) in 23S rRNA + S-adenosyl-L-homocysteine.	guanine(748) in 23S rRNA							
GO:0052912	23S rRNA (guanine(748)-N(1))-methyltransferase activity	Catalysis of the reaction: S-adenosyl-L-methionine + guanine(748) in 23S rRNA = N(1)-methylguanine(748) in 23S rRNA + S-adenosyl-L-homocysteine.	N(1)-methylguanine(748) in 23S rRNA							
GO:0018511	2,3-dihydroxy-2,3-dihydro-p-cumate dehydrogenase activity	Catalysis of the reaction: cis-2,3-dihydroxy-2,3-dihydro-p-cumate + NAD(+) = 2,3-dihydroxy-p-cumate + H(+) + NADH.	cis-2,3-dihydroxy-2,3-dihydro-p-cumate							
GO:0008994	rhamnulose-1-phosphate aldolase activity	Catalysis of the reaction: L-rhamnulose 1-phosphate = glycerone phosphate + (S)-lactaldehyde.	glycerone phosphate							
GO:0047754	choline sulfotransferase activity	Catalysis of the reaction: 3'-phospho-5'-adenylyl sulfate + choline = adenosine 3',5'-diphosphate + choline sulfate + H(+).	adenosine 3',5'-diphosphate							
GO:0004446	inositol-hexakisphosphate phosphatase activity	Catalysis of the reaction: myo-inositol hexakisphosphate + H2O = myo-inositol pentakisphosphate (mixed isomers) + phosphate.	myo-inositol pentakisphosphate (mixed isomers)							
GO:0050109	morphine 6-dehydrogenase activity	Catalysis of the reaction: morphine + NAD(P)+ = morphinone + NAD(P)H + H+.	NAD(P)+							
GO:0004148	dihydrolipoyl dehydrogenase activity	Catalysis of the reaction: protein N6-(dihydrolipoyl)lysine + NAD+ = protein N6-(lipoyl)lysine + NADH + H+.	protein N6-(dihydrolipoyl)lysine							
GO:0004148	dihydrolipoyl dehydrogenase activity	Catalysis of the reaction: protein N6-(dihydrolipoyl)lysine + NAD+ = protein N6-(lipoyl)lysine + NADH + H+.	protein N6-(lipoyl)lysine							
GO:0003975	UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity	Catalysis of the reaction: UDP-N-acetyl-D-glucosamine + dolichyl phosphate = UMP + N-acetyl-D-glucosaminyl-diphosphodolichol.	N-acetyl-D-glucosaminyl-diphosphodolichol							
GO:0003975	UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity	Catalysis of the reaction: UDP-N-acetyl-D-glucosamine + dolichyl phosphate = UMP + N-acetyl-D-glucosaminyl-diphosphodolichol.	N-acetyl-D-glucosaminyl-diphosphodolichol							
GO:0050147	nucleoside ribosyltransferase activity	Catalysis of the reaction: D-ribosyl-base1 + base2 = D-ribosyl-base2 + base1.	D-ribosyl-base1							
GO:0050147	nucleoside ribosyltransferase activity	Catalysis of the reaction: D-ribosyl-base1 + base2 = D-ribosyl-base2 + base1.	base2							
GO:0050147	nucleoside ribosyltransferase activity	Catalysis of the reaction: D-ribosyl-base1 + base2 = D-ribosyl-base2 + base1.	D-ribosyl-base2							
GO:0050147	nucleoside ribosyltransferase activity	Catalysis of the reaction: D-ribosyl-base1 + base2 = D-ribosyl-base2 + base1.	base1							
GO:0047952	glycerol-3-phosphate dehydrogenase [NAD(P)+] activity	Catalysis of the reaction: sn-glycerol 3-phosphate + NAD(P)+ = glycerone phosphate + NAD(P)H + H+.	NAD(P)+							
GO:0047952	glycerol-3-phosphate dehydrogenase [NAD(P)+] activity	Catalysis of the reaction: sn-glycerol 3-phosphate + NAD(P)+ = glycerone phosphate + NAD(P)H + H+.	glycerone phosphate							
GO:0050167	pantothenoylcysteine decarboxylase activity	Catalysis of the reaction: N-[(R)-pantothenoyl]-L-cysteine + H(+) = (R)-pantetheine + CO(2).	CO(2)							
GO:0008828	dATP pyrophosphohydrolase activity	Catalysis of the reaction: deoxy-ATP + H2O = dAMP + diphosphate.	deoxy-ATP							
GO:0008828	dATP pyrophosphohydrolase activity	Catalysis of the reaction: deoxy-ATP + H2O = dAMP + diphosphate.	deoxy-ATP							
GO:0008828	dATP pyrophosphohydrolase activity	Catalysis of the reaction: deoxy-ATP + H2O = dAMP + diphosphate.	deoxy-ATP							
GO:0008828	dATP pyrophosphohydrolase activity	Catalysis of the reaction: deoxy-ATP + H2O = dAMP + diphosphate.	deoxy-ATP							
GO:0008820	cobinamide phosphate guanylyltransferase activity	Catalysis of the reaction: adenosylcobinamide phosphate + GTP + 2 H(+) = adenosylcobinamide-GDP + diphosphate.	adenosylcobinamide-GDP							
GO:0008820	cobinamide phosphate guanylyltransferase activity	Catalysis of the reaction: adenosylcobinamide phosphate + GTP + 2 H(+) = adenosylcobinamide-GDP + diphosphate.	adenosylcobinamide-GDP							
GO:0003830	beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity	Catalysis of the reaction: UDP-N-acetyl-D-glucosamine + beta-D-mannosyl-R = UDP + 4-(N-acetyl-beta-D-glucosaminyl)-beta-D-mannosyl-R.	beta-D-mannosyl-R							
GO:0003830	beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity	Catalysis of the reaction: UDP-N-acetyl-D-glucosamine + beta-D-mannosyl-R = UDP + 4-(N-acetyl-beta-D-glucosaminyl)-beta-D-mannosyl-R.	4-(N-acetyl-beta-D-glucosaminyl)-beta-D-mannosyl-R							
GO:0034955	2,3-dihydroxydiphenyl ether dioxygenase activity	Catalysis of the reaction: 2,3-dihydroxydiphenyl ether + O2 + H2O = 2-hydroxymuconate + phenol.	2,3-dihydroxydiphenyl ether							
GO:0034955	2,3-dihydroxydiphenyl ether dioxygenase activity	Catalysis of the reaction: 2,3-dihydroxydiphenyl ether + O2 + H2O = 2-hydroxymuconate + phenol.	2-hydroxymuconate							
GO:0047631	ADP-ribose diphosphatase activity	Catalysis of the reaction: ADP-ribose + H2O = AMP + D-ribose 5-phosphate.	ADP-ribose							
GO:0047631	ADP-ribose diphosphatase activity	Catalysis of the reaction: ADP-ribose + H2O = AMP + D-ribose 5-phosphate.	ADP-ribose							
GO:0047631	ADP-ribose diphosphatase activity	Catalysis of the reaction: ADP-ribose + H2O = AMP + D-ribose 5-phosphate.	ADP-ribose							
GO:0070041	rRNA (uridine-C5-)-methyltransferase activity	Catalysis of the reaction: S-adenosyl-L-methionine + rRNA = S-adenosyl-L-homocysteine + rRNA containing C5-methyluridine.	rRNA containing C5-methyluridine							
GO:0018624	toluene dioxygenase activity	Catalysis of the reaction: H(+) + NADH + O(2) + toluene = (1S,2R)-3-methylcyclohexa-3,5-diene-1,2-diol + NAD(+).	O(2)							
GO:0047857	dihydrouracil oxidase activity	Catalysis of the reaction: 5,6-dihydrouracil + O(2) = H(2)O(2) + uracil.	O(2)							
GO:0047857	dihydrouracil oxidase activity	Catalysis of the reaction: 5,6-dihydrouracil + O(2) = H(2)O(2) + uracil.	H(2)O(2)							
GO:0018681	deisopropylatrazine monooxygenase activity	Catalysis of the reaction: 2 deisopropylatrazine + O2 = 2 acetaldehyde + 2 deisopropyldeethylatrazine.	deisopropyldeethylatrazine							
GO:0010347	L-galactose-1-phosphate phosphatase activity	Catalysis of the reaction: L-galactose-1-phosphate + H2O = L-galactose + phosphate.	L-galactose-1-phosphate							
GO:0003854	3-beta-hydroxy-delta5-steroid dehydrogenase activity	Catalysis of the reaction: a 3-beta-hydroxy-delta(5)-steroid + NAD+ = a 3-oxo-delta(5)-steroid + NADH + H(+).	3-beta-hydroxy-delta(5)-steroid							
GO:0003854	3-beta-hydroxy-delta5-steroid dehydrogenase activity	Catalysis of the reaction: a 3-beta-hydroxy-delta(5)-steroid + NAD+ = a 3-oxo-delta(5)-steroid + NADH + H(+).	3-oxo-delta(5)-steroid							
GO:0034736	cholesterol O-acyltransferase activity	Catalysis of the reaction: acyl-CoA + cholesterol = a cholesterol ester + CoA.	cholesterol ester	http://purl.obolibrary.org/obo/CHEBI_17002	cholesteryl ester	newsyn	0.6666666666666666			
GO:0034736	cholesterol O-acyltransferase activity	Catalysis of the reaction: acyl-CoA + cholesterol = a cholesterol ester + CoA.	cholesterol ester	http://purl.obolibrary.org/obo/CHEBI_17002	cholesteryl ester	newsyn	0.6666666666666666			
GO:0034805	benzo(a)pyrene-trans-11,12-dihydrodiol dehydrogenase activity	Catalysis of the reaction: benzo(a)pyrene-trans-11,12-dihydrodiol = 11,12-dihydroxybenzo(a)pyrene + 2 H+ + 2 e-.	benzo(a)pyrene-trans-11,12-dihydrodiol							
GO:0034805	benzo(a)pyrene-trans-11,12-dihydrodiol dehydrogenase activity	Catalysis of the reaction: benzo(a)pyrene-trans-11,12-dihydrodiol = 11,12-dihydroxybenzo(a)pyrene + 2 H+ + 2 e-.	11,12-dihydroxybenzo(a)pyrene							
GO:0004818	glutamate-tRNA ligase activity	Catalysis of the reaction: ATP + L-glutamate + tRNA(Glu) = AMP + diphosphate + L-glutamyl-tRNA(Glu).	L-glutamyl-tRNA(Glu)							
GO:0004818	glutamate-tRNA ligase activity	Catalysis of the reaction: ATP + L-glutamate + tRNA(Glu) = AMP + diphosphate + L-glutamyl-tRNA(Glu).	L-glutamyl-tRNA(Glu)							
GO:0004818	glutamate-tRNA ligase activity	Catalysis of the reaction: ATP + L-glutamate + tRNA(Glu) = AMP + diphosphate + L-glutamyl-tRNA(Glu).	L-glutamyl-tRNA(Glu)							
GO:0004818	glutamate-tRNA ligase activity	Catalysis of the reaction: ATP + L-glutamate + tRNA(Glu) = AMP + diphosphate + L-glutamyl-tRNA(Glu).	L-glutamyl-tRNA(Glu)							
GO:0004818	glutamate-tRNA ligase activity	Catalysis of the reaction: ATP + L-glutamate + tRNA(Glu) = AMP + diphosphate + L-glutamyl-tRNA(Glu).	L-glutamyl-tRNA(Glu)							
GO:0004818	glutamate-tRNA ligase activity	Catalysis of the reaction: ATP + L-glutamate + tRNA(Glu) = AMP + diphosphate + L-glutamyl-tRNA(Glu).	L-glutamyl-tRNA(Glu)							
GO:0004818	glutamate-tRNA ligase activity	Catalysis of the reaction: ATP + L-glutamate + tRNA(Glu) = AMP + diphosphate + L-glutamyl-tRNA(Glu).	L-glutamyl-tRNA(Glu)							
GO:0004818	glutamate-tRNA ligase activity	Catalysis of the reaction: ATP + L-glutamate + tRNA(Glu) = AMP + diphosphate + L-glutamyl-tRNA(Glu).	L-glutamyl-tRNA(Glu)							
GO:0004818	glutamate-tRNA ligase activity	Catalysis of the reaction: ATP + L-glutamate + tRNA(Glu) = AMP + diphosphate + L-glutamyl-tRNA(Glu).	L-glutamyl-tRNA(Glu)							
GO:0004818	glutamate-tRNA ligase activity	Catalysis of the reaction: ATP + L-glutamate + tRNA(Glu) = AMP + diphosphate + L-glutamyl-tRNA(Glu).	L-glutamyl-tRNA(Glu)							
GO:0004818	glutamate-tRNA ligase activity	Catalysis of the reaction: ATP + L-glutamate + tRNA(Glu) = AMP + diphosphate + L-glutamyl-tRNA(Glu).	L-glutamyl-tRNA(Glu)							
GO:0004818	glutamate-tRNA ligase activity	Catalysis of the reaction: ATP + L-glutamate + tRNA(Glu) = AMP + diphosphate + L-glutamyl-tRNA(Glu).	L-glutamyl-tRNA(Glu)							
GO:0047954	glycerol-2-phosphatase activity	Catalysis of the reaction: glycerol 2-phosphate + H(2)O = glycerol + phosphate.	H(2)O							
GO:0047587	5-alpha-hydroxysteroid dehydratase activity	Catalysis of the reaction: 5alpha-ergosta-7,22-diene-3beta,5-diol = ergosterol + H(2)O.	H(2)O							
GO:0034868	2,4,4-trimethyl-3-hydroxypentanoyl-CoA dehydrogenase activity	Catalysis of the reaction: 2,4,4-trimethyl-3-hydroxypentanoyl-CoA = 2,4,4-trimethyl-3-oxopentanoyl-CoA + 2 H+ + 2 e-.	2,4,4-trimethyl-3-hydroxypentanoyl-CoA							
